State_id,State code,State,State_name
768,4,AZ,Arizona
769,4,AZ,Arizona
770,4,AZ,Arizona
771,4,AZ,Arizona
772,4,AZ,Arizona
773,4,AZ,Arizona
774,4,AZ,Arizona
775,4,AZ,Arizona
776,4,AZ,Arizona
777,4,AZ,Arizona
778,4,AZ,Arizona
779,4,AZ,Arizona
780,4,AZ,Arizona
781,4,AZ,Arizona
782,4,AZ,Arizona
783,4,AZ,Arizona
784,4,AZ,Arizona
785,4,AZ,Arizona
786,4,AZ,Arizona
787,4,AZ,Arizona
788,4,AZ,Arizona
789,4,AZ,Arizona
790,4,AZ,Arizona
791,4,AZ,Arizona
792,5,AR,Arkansas
793,5,AR,Arkansas
794,5,AR,Arkansas
795,5,AR,Arkansas
796,5,AR,Arkansas
797,5,AR,Arkansas
798,5,AR,Arkansas
799,5,AR,Arkansas
800,5,AR,Arkansas
801,5,AR,Arkansas
802,5,AR,Arkansas
803,5,AR,Arkansas
804,5,AR,Arkansas
805,5,AR,Arkansas
806,5,AR,Arkansas
807,5,AR,Arkansas
808,5,AR,Arkansas
809,5,AR,Arkansas
810,5,AR,Arkansas
811,5,AR,Arkansas
812,5,AR,Arkansas
813,5,AR,Arkansas
814,5,AR,Arkansas
815,5,AR,Arkansas
816,5,AR,Arkansas
817,5,AR,Arkansas
818,5,AR,Arkansas
819,5,AR,Arkansas
820,5,AR,Arkansas
821,5,AR,Arkansas
822,5,AR,Arkansas
823,5,AR,Arkansas
824,5,AR,Arkansas
825,5,AR,Arkansas
826,5,AR,Arkansas
827,5,AR,Arkansas
828,5,AR,Arkansas
829,5,AR,Arkansas
830,5,AR,Arkansas
831,5,AR,Arkansas
832,5,AR,Arkansas
833,5,AR,Arkansas
834,5,AR,Arkansas
835,5,AR,Arkansas
836,5,AR,Arkansas
837,5,AR,Arkansas
838,5,AR,Arkansas
839,5,AR,Arkansas
840,5,AR,Arkansas
841,5,AR,Arkansas
842,5,AR,Arkansas
843,5,AR,Arkansas
844,5,AR,Arkansas
845,5,AR,Arkansas
846,5,AR,Arkansas
847,5,AR,Arkansas
848,5,AR,Arkansas
849,5,AR,Arkansas
850,5,AR,Arkansas
851,5,AR,Arkansas
852,5,AR,Arkansas
853,5,AR,Arkansas
854,5,AR,Arkansas
855,5,AR,Arkansas
856,5,AR,Arkansas
857,5,AR,Arkansas
858,5,AR,Arkansas
859,5,AR,Arkansas
860,5,AR,Arkansas
861,5,AR,Arkansas
862,5,AR,Arkansas
863,5,AR,Arkansas
864,5,AR,Arkansas
865,5,AR,Arkansas
866,5,AR,Arkansas
867,5,AR,Arkansas
868,5,AR,Arkansas
869,5,AR,Arkansas
870,5,AR,Arkansas
871,5,AR,Arkansas
872,5,AR,Arkansas
873,5,AR,Arkansas
874,5,AR,Arkansas
875,5,AR,Arkansas
876,5,AR,Arkansas
877,5,AR,Arkansas
878,5,AR,Arkansas
879,5,AR,Arkansas
880,5,AR,Arkansas
881,5,AR,Arkansas
882,5,AR,Arkansas
883,5,AR,Arkansas
884,5,AR,Arkansas
885,5,AR,Arkansas
886,5,AR,Arkansas
887,5,AR,Arkansas
888,5,AR,Arkansas
889,5,AR,Arkansas
890,5,AR,Arkansas
891,5,AR,Arkansas
892,5,AR,Arkansas
893,5,AR,Arkansas
894,5,AR,Arkansas
895,5,AR,Arkansas
896,5,AR,Arkansas
897,5,AR,Arkansas
898,5,AR,Arkansas
899,5,AR,Arkansas
900,5,AR,Arkansas
901,5,AR,Arkansas
902,5,AR,Arkansas
903,5,AR,Arkansas
